time: 0.14200139045715332, average: 1.4200139045715332e-05
p0 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p7393 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p7394 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7395 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7396 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7397 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7398 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p7399 = Tree[a, {a,Tree[a, {a,a}],a}]
p7400 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7401 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p7402 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p7403 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7404 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7405 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7406 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7407 = Tree[a, {Tree[a, {a,a,a,a}]}]
p7408 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7409 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7410 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7411 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7412 = Tree[a, {Tree[a, {a}],a,a,a}]
p7413 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7414 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7415 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p7416 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7417 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p7418 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p7419 = Tree[a, {Tree[a, {a}],a,a,a}]
p7420 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7421 = Tree[a, {a,a,a,a,a}]
p7422 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p7423 = Tree[a, {a,Tree[a, {a}],a,a}]
p7424 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7425 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7426 = Tree[a, {Tree[a, {a,a}],a,a}]
p7427 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7428 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p7429 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7430 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p7431 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p7432 = Tree[a, {a,a,a,a,a}]
p7433 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7434 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7435 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p7436 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7437 = Tree[a, {Tree[a, {a}],a,a,a}]
p7438 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7439 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p7440 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7441 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7442 = Tree[a, {Tree[a, {a,a,a}],a}]
p7443 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p7444 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7445 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7446 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7447 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7448 = Tree[a, {a,a,Tree[a, {a}],a}]
p7449 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7450 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p7451 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7452 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7453 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7454 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p7455 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p7456 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7457 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7458 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7459 = Tree[a, {Tree[a, {a,a,a,a}]}]
p7460 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7461 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7462 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7463 = Tree[a, {a,Tree[a, {a}],a,a}]
p7464 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p7465 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7466 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7467 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p7468 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7469 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7470 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p7471 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p7472 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p7473 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7474 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p7475 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7476 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p7477 = Tree[a, {a,Tree[a, {a,a}],a}]
p7478 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p7479 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7480 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p7481 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7482 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7483 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p7484 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7485 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p7486 = Tree[a, {Tree[a, {a,a,a}],a}]
p7487 = Tree[a, {a,a,Tree[a, {a}],a}]
p7488 = Tree[a, {a,a,a,a,a}]
p7489 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p7490 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p7491 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7492 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p7493 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p7494 = Tree[a, {a,a,Tree[a, {a}],a}]
p7495 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7496 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7497 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7498 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p7499 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p7500 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p7501 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p7502 = Tree[a, {a,Tree[a, {a}],a,a}]
p7503 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p7504 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7505 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p7506 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7507 = Tree[a, {Tree[a, {a}],a,a,a}]
p7508 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7509 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7510 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p7511 = Tree[a, {a,a,a,a,a}]
p7512 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7513 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p7514 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7515 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p7516 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p7517 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7518 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p7519 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7520 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7521 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7522 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p7523 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p7524 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p7525 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p7526 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7527 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7528 = Tree[a, {a,a,Tree[a, {a}],a}]
p7529 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7530 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7531 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7532 = Tree[a, {a,a,a,a,a}]
p7533 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7534 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7535 = Tree[a, {Tree[a, {a,a,a}],a}]
p7536 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p7537 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7538 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p7539 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7540 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p7541 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7542 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7543 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p7544 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p7545 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p7546 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p7547 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p7548 = Tree[a, {Tree[a, {a,a}],a,a}]
p7549 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p7550 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p7551 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7552 = Tree[a, {Tree[a, {a}],a,a,a}]
p7553 = Tree[a, {a,a,Tree[a, {a,a}]}]
p7554 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7555 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p7556 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p7557 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7558 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7559 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p7560 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7561 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7562 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7563 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p7564 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p7565 = Tree[a, {Tree[a, {a,a,a,a}]}]
p7566 = Tree[a, {a,Tree[a, {a,a}],a}]
p7567 = Tree[a, {a,a,a,a,a}]
p7568 = Tree[a, {Tree[a, {a,a,a}],a}]
p7569 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7570 = Tree[a, {a,Tree[a, {a}],a,a}]
p7571 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7572 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7573 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7574 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7575 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7576 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7577 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7578 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7579 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7580 = Tree[a, {a,a,Tree[a, {a,a}]}]
p7581 = Tree[a, {Tree[a, {a,a,a}],a}]
p7582 = Tree[a, {Tree[a, {a,a,a}],a}]
p7583 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7584 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p7585 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7586 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7587 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p7588 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7589 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7590 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p7591 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7592 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7593 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p7594 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7595 = Tree[a, {a,Tree[a, {a}],a,a}]
p7596 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7597 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7598 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7599 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p7600 = Tree[a, {Tree[a, {a,a,a,a}]}]
p7601 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7602 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p7603 = Tree[a, {a,Tree[a, {a,a}],a}]
p7604 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7605 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p7606 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7607 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7608 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7609 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7610 = Tree[a, {a,Tree[a, {a}],a,a}]
p7611 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7612 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7613 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p7614 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p7615 = Tree[a, {Tree[a, {a,a}],a,a}]
p7616 = Tree[a, {Tree[a, {a}],a,a,a}]
p7617 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7618 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7619 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7620 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7621 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7622 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7623 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p7624 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p7625 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7626 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p7627 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p7628 = Tree[a, {a,a,a,a,a}]
p7629 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7630 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p7631 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p7632 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7633 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7634 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p7635 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7636 = Tree[a, {a,Tree[a, {a,a}],a}]
p7637 = Tree[a, {a,Tree[a, {a,a}],a}]
p7638 = Tree[a, {a,a,Tree[a, {a}],a}]
p7639 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p7640 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7641 = Tree[a, {a,Tree[a, {a}],a,a}]
p7642 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7643 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7644 = Tree[a, {a,a,Tree[a, {a,a}]}]
p7645 = Tree[a, {a,a,a,a,a}]
p7646 = Tree[a, {Tree[a, {a}],a,a,a}]
p7647 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7648 = Tree[a, {Tree[a, {a,a}],a,a}]
p7649 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7650 = Tree[a, {Tree[a, {a,a}],a,a}]
p7651 = Tree[a, {a,Tree[a, {a}],a,a}]
p7652 = Tree[a, {a,Tree[a, {a}],a,a}]
p7653 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7654 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7655 = Tree[a, {Tree[a, {a,a,a,a}]}]
p7656 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p7657 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7658 = Tree[a, {Tree[a, {a,a,a,a}]}]
p7659 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7660 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7661 = Tree[a, {Tree[a, {a,a,a}],a}]
p7662 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p7663 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7664 = Tree[a, {Tree[a, {a,a}],a,a}]
p7665 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7666 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7667 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p7668 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p7669 = Tree[a, {a,a,Tree[a, {a}],a}]
p7670 = Tree[a, {a,a,Tree[a, {a}],a}]
p7671 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7672 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p7673 = Tree[a, {Tree[a, {a,a}],a,a}]
p7674 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p7675 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7676 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7677 = Tree[a, {a,a,Tree[a, {a,a}]}]
p7678 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7679 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p7680 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7681 = Tree[a, {Tree[a, {a}],a,a,a}]
p7682 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7683 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p7684 = Tree[a, {a,Tree[a, {a}],a,a}]
p7685 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7686 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7687 = Tree[a, {Tree[a, {a}],a,a,a}]
p7688 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p7689 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7690 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p7691 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7692 = Tree[a, {Tree[a, {a,a,a}],a}]
p7693 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p7694 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7695 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p7696 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7697 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p7698 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7699 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p7700 = Tree[a, {a,a,Tree[a, {a}],a}]
p7701 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7702 = Tree[a, {a,a,a,a,a}]
p7703 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7704 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p7705 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7706 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7707 = Tree[a, {a,a,a,a,a}]
p7708 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p7709 = Tree[a, {Tree[a, {a,a,a,a}]}]
p7710 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7711 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p7712 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7713 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p7714 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p7715 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7716 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p7717 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p7718 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p7719 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7720 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p7721 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7722 = Tree[a, {a,a,Tree[a, {a,a}]}]
p7723 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7724 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p7725 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7726 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7727 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7728 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p7729 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7730 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7731 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p7732 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p7733 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7734 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p7735 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7736 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p7737 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7738 = Tree[a, {Tree[a, {a,a}],a,a}]
p7739 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7740 = Tree[a, {Tree[a, {a}],a,a,a}]
p7741 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7742 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p7743 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7744 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7745 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p7746 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p7747 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7748 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p7749 = Tree[a, {Tree[a, {a}],a,a,a}]
p7750 = Tree[a, {Tree[a, {a}],a,a,a}]
p7751 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7752 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7753 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7754 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p7755 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7756 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p7757 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p7758 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p7759 = Tree[a, {a,a,Tree[a, {a}],a}]
p7760 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p7761 = Tree[a, {a,a,Tree[a, {a}],a}]
p7762 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p7763 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
